ds,yhat,yhat_lower,yhat_upper
2026-06-10,565.0699075981242,561.2675532875978,568.7003761490951
2026-06-11,401.44500656839773,397.38480790328305,405.34451294600836
2026-06-12,195.84892773525274,191.59318374130422,200.06182536828217
2026-06-13,79.5098810399461,75.06105440422027,83.94916833118972
2026-06-14,76.37780304805625,71.75540085333444,81.056304025878
2026-06-15,120.16557106118438,115.36959330479246,125.01088129244154
2026-06-16,147.26494539747782,142.2132038044636,152.3582615946709
2026-06-17,158.1713769043427,152.8525763824474,163.62957839810005
2026-06-18,191.76723471652457,186.23676140184511,197.58067398667626
2026-06-19,258.9887844378997,253.25190275381308,264.8436937737691
2026-06-20,323.4076629953382,317.46431889527463,329.3001532554113
2026-06-21,354.89572881476477,348.7193156491713,360.8246562603677
2026-06-22,389.3228140964863,382.9057798589421,395.53490121732676
2026-06-23,508.36455171517616,501.70689640518367,514.8936289221153
2026-06-24,737.7176461400746,730.7670408796553,744.5637134303075
2026-06-25,964.6890530862704,957.2219947163633,971.8517548122795
2026-06-26,983.1719197610709,975.1918277329937,990.5281218258253
2026-06-27,661.2716368694171,652.8028787784178,668.840896836771
2026-06-28,94.95024206256048,86.21974450944893,102.68955805504979
2026-06-29,-406.04853626424597,-415.0402324774528,-398.1391642506776
2026-06-30,-521.830125598628,-531.0854513352836,-513.750697561654
2026-07-01,-165.7699966844491,-175.2848091754919,-157.5205126233593
2026-07-02,434.97838380461644,425.1772625310428,443.4932085967978
2026-07-03,899.8086248969043,889.6798461591151,908.6953554454469
2026-07-04,973.2354111843492,962.8841596261339,982.4940474891677
2026-07-05,698.4220784808572,687.6797245343574,708.0526205423824
2026-07-06,351.752743131802,340.79684015335647,361.75425531545227
2026-07-07,205.59009283728614,194.2829738589902,215.9620577333409
2026-07-08,322.8391859248116,311.1840309282658,333.5289809457038
2026-07-09,544.0398558538934,531.9460306912544,554.9399519190945
2026-07-10,652.7460193601203,640.178164965208,663.853378880574
2026-07-11,558.685615657087,545.6464317386364,570.1762852235776
2026-07-12,344.91594070161625,331.4114019857576,356.783340184809
2026-07-13,163.61525787158806,149.64536435803973,175.94180604253984
2026-07-14,98.18433561516039,83.75725037211522,110.81035409880897
2026-07-15,118.28726495784753,103.52195607501454,131.20864977595943
2026-07-16,146.92982779198675,131.63633973896,160.14657894392195
2026-07-17,150.28707931034822,134.4453564268168,163.79919679623532
2026-07-18,155.9223611752408,139.6103563533103,169.72984499582958
2026-07-19,195.8941748924518,179.20385125364368,210.19344258310872
2026-07-20,254.73315889127264,237.7306470961663,269.5624456093509
2026-07-21,289.7566907707745,272.2754783787632,305.11587600298554
2026-07-22,299.9966673242571,281.9315344693109,315.8222240144338
2026-07-23,353.30894424493715,334.83515154376175,369.45640188035344
2026-07-24,518.1050937866854,499.34126372722284,534.5873189462011
2026-07-25,755.0014531607035,735.947906399167,771.7926177687908
2026-07-26,889.5191739113507,870.1759104477024,906.6312730163766
2026-07-27,728.5360307979502,708.9030506334856,745.9690478706913
2026-07-28,242.9101942010225,222.9927001221695,260.66411270993063
2026-07-29,-348.9485313785583,-369.271810968023,-330.8737114328427
2026-07-30,-698.9975898995781,-719.9746390589033,-680.6018685174768
2026-07-31,-579.3882249863036,-600.6502063084189,-560.6716021671442
2026-08-01,-65.66627341537657,-87.4003056825259,-46.62874915872476
2026-08-02,506.2364135368882,484.03626575636844,525.5948392301974
2026-08-03,785.2317752189185,762.5706300153645,805.1221322409019
2026-08-04,657.795409545068,634.8750161246533,678.0178898640486
2026-08-05,306.8463810225982,283.6667393833616,327.40098463737246
2026-08-06,39.92954380753241,16.490653950730458,60.81627071876294
2026-08-07,40.60298974497499,16.860797381907762,61.959410865299944
2026-08-08,248.66524078630715,224.4453236589257,270.53931995274746
2026-08-09,449.99860495186624,425.3009630583272,472.3881433722252
2026-08-10,474.6129904914342,449.43762383293733,497.604668199945
2026-08-11,324.13631991461773,298.48322848964096,347.7567287517627
2026-08-12,134.91010360852502,108.77928741871777,158.89195455780236
2026-08-13,38.114714967100554,11.509528931872511,62.53249519048159
